Membership,Name,image,Title,Affiliation,City/State,Country,Bio,Link,Link2
Associate,Alex Sen Gupta,Alex Sen Gupta.jpg,Prof,University of New South Wales,NSW,Australia,Im a physical oceanographer and climate scientist. Ive worked in the MHW space for over a decade and currently have a fellowship related to subsurface MHWs.,https://www.timesareachangin.com/,
Associate,Amandine Schaeffer,Amandine Schaeffer.jpg,A/Prof,"UNSW Sydney, Australia",Sydney,Australia,"Amandine's research focuses on subsurface marine heatwaves, focusing on in situ observations, and East Australian Current dynamics, including its impact on submesoscale and shelf processes; she also leads BluebottleWatch, a project combining lab experiments, ocean surveys, and hydrodynamic modelling to forecast marine stinger beaching events.",https://www.unsw.edu.au/staff/amandine-schaeffer,
Full,Amélie Simon,Amélie Simon.jpeg,Researcher,LOPS- Ifremer,Plouzané,France,"Amélie Simon joined the LOPS (Plouzané, France) in 2025 as a permanent researcher focusing on the physical processes associated with marine heatwaves around Europe (from the coast to the open ocean). This interest began during her time as a Postdoc at the University of Lisbon (Portugal). Her background also includes fluid dynamics (PhD degree obtained in 2017 from Ecole Centrale de Lyon (France) on shallow-water models) and ocean-sea ice-atmosphere interactions (Postdocs at IMT-Atlantique (Plouzané, France) studying Arctic sea-ice dynamics, and at LOCEAN-IPSL (Paris, France) investigating the large-scale influence of Arctic sea ice retreat on global climate).",,
Associate,Ana Russo,Ana Russo.jpg,Professor,ISA,Lisbon,Portugal,"Ana Russo is currently an Assistant Professor at Instituto Superior de Agronomia (ISA), University of Lisbon. She mostly works on the evaluation of different types of weather-driven natural hazards with particular emphasis to droughts, heatwaves and wildfires. She has been working on how these extreme events may alter their frequency or amplitude and impacts at different levels, namely on air quality, human mortality, agriculture, forests and atmosphere-ocean interactions.",,
Full,Antonietta Capotondi,blank.jpg,,,"Boulder, Colorado",United States,,,
Full,Catherine H. Gregory,blank.jpg,,,Bern,Switzerland,,,
Associate,Dan Smale,Dan Smale.jpg,Senior Research Fellow,Marine Biological Association of the UK,Plymouth,United Kingdom,"Dan is a marine biologist with broad research interests and a particular focus on how global environmental change is shifting the structure and functioning of coastal marine ecosystems. His work aims to better understanding patterns of biodiversity, and the processes that shape them, to inform approaches to management and conservation. Dan has also led recent advances in characterising the physical properties and ecological impacts of marine heatwaves, which are emerging as important drivers of ecosystem change and are likely to intensity with anthropogenic climate change. He leads a team of researchers at the Marine Biological Association, based in Plymouth, UK. ",https://www.mba.ac.uk/benthic-ecosystems-smale/,
Associate,Daniel Hayes,Daniel Hayes.jpg,Marine Sciences Research Director,Cyprus Marine and Maritime Institute | CMMI,Larnaca,Cyprus,"Daniel Hayes, Ph. D., is a physical oceanographer specialising on small and meso-scale physical exchange processes using autonomous underwater vehicles, models, and statistical techniques. He is the UNESCO-IOC IODE National Coordinator for Oceanographic Data Management for Cyprus, the Cyprus National Focal Point for the Global Ocean Observing System (GOOS), the Cyprus National Focal Point for the European Ocean Observing System (EOOS) Operations Committee, and a (founding) member of the GOOS-endorsed OceanGlider International Steering Team.",https://www.cmmi.blue/,
Associate,Dimitra Denaxa,Dimitra Denaxa.jpg,physical oceanographer,Hellenic Centre for Marine Research (HCMR),Athens,Greece,"Dimitra Denaxa is a Physical Oceanographer at the Hellenic Centre for Marine Research (HCMR), Greece. Her research focuses on ocean warming and marine heatwaves, climate variability, air–sea interactions, and ocean waves, combining observational data, statistical analyses, and numerical modelling. She is a member of the POSEIDON system team at HCMR and contributes to the Copernicus Marine Mediterranean Monitoring and Forecasting Centre, supporting ocean monitoring and climate assessments in the Mediterranean Sea.",,
Associate,Franck E. K. Ghomsi,blank.jpg,,,,Cameroon,,,
Chair,Giulia Bonino,Giulia Bonino.jpg,Research Scientist,"CMCC Foundation - Euro-Mediterranean Center on Climate Change, Italy",Bologna,Italy ,"Giulia Bonino is a junior research scientist at CMCC. She graduated from the PhD program in Science and Management of Climate Change at Ca’ Foscari University of Venice/CMCC, focusing on the variability of Eastern Boundary Upwelling Systems (EBUS) within an ocean modelling framework (NEMO). She has a strong background in physical oceanography and marine extremes (e.g., marine heatwaves), developed through projects such as FEVERSEA and OBSSEA4CLIM, and is gaining expertise in coupled physical-biogeochemical coastal modelling through international projects like NECCTON and ACTNOW.",https://www.researchgate.net/profile/Giulia-Bonino-2,
Full,Jacob T. Cohen,Jacob T. Cohen.jpeg,Postdoctoral Scholar,"CICOES, University of Washington / NOAA PMEL","Seattle, Washington",United States,"Jacob T. Cohen is a postdoc at the Cooperative Institute for Climate, Ocean, & Ecosystem Studies. He uses observations and climate models to study the spatiotemporal evolution, biogeochemical impacts, and prediction of physical events including marine heatwaves and eddies with an emphasis on quasi-Lagrangian tracking of these events. Jacob is a developer and maintainer of Ocetrac, a python package for tracking marine heatwaves in the surface and subsurface ocean. ",https://cohenjt.github.io/,
Associate,Mariana Torres,blank.jpg,,,,United States,,,
Associate,Marylou Athanase,Marylou Athanase.jpg,Postdoctoral Scientist,Alfred Wegener Institute,Bremerhaven,Germany,"My research focuses primarily on the physical understanding of climate extremes, with a particular emphasis on the ocean and air-sea feedbacks. From my PhD in Arctic oceanography, I also remain very interested in polar regions. Outside academia, I am always happy to talk about hikes, birds, and board games.",https://www.awi.de/en/about-us/organisation/staff/single-view/marylou-athanase.html ,https://scholar.google.com/citations?user=MbLBaTwAAAAJ&hl=fr
Associate,Natacha Le Grix,blank.jpg,,,,Switzerland,,,
Associate,Neil Holbrook,blank.jpg,,,,Australia,,,
Associate,Regina R. Rodrigues,Regina R. Rodrigues.jpg,Associate Professor of Physical Oceanography and Climate,Federal University of Santa Catarina,"Florianópolis, Santa Catarina",Brazil,Regina R. Rodrigues is co-chair of the WCRP Lighthouse Activity “My Climate Risk” and CLIVAR Marine Heatwaves Research Focus. Her research interests include understanding how tropical ocean basins interact and affect the extra-tropics leading to extreme events. She served as a review editor for IPCC-SRCCL and is currently an author of IPCC-AR7 and is a permanent member of the Brazilian Interministerial Committee for Climate Change.,www.linkedin.com/in/reginarodriguesrodrigues,https://scholar.google.com/citations?user=eRZWLCsAAAAJ&hl 
Associate,Ronan McAdam,Ronan McAdam.jpg,Junior Scientist,CMCC Foundation - Euro-Mediterranean Centre on Climate Change,Bologna,Italy,"Ronan specialises in climate variability, forecasting, and extreme events. His research combines physical oceanography and climate science with state-of-the-art models and forecasting systems, as well as innovative machine learning approaches. Regarding marine heatwaves, Ronan currently works on identifying their drivers, and on their representation in ocean reanalyses. ",https://www.cmcc.it/people/mc-adam-ronan,
Full,Ruijian Gou,Ruijian Gou.jpg,Postdoc,Laoshan Laboratory,Qingdao,China,"My main research interest lies in the Arctic marine heatwaves. I am particularly interested in their climate impact considering the nonlinear feedbacks in the Arctic, and their ecological impacts on the cold-adapted organisms.",,
Associate,Samo Diatta,Samo Diatta.jpg,Researcher,"Assane SECK University of Ziguinchor, SENEGAL",Ziguinchor,Senegal,"I'm a climate scientist interested in climate variability and change, extreme events, and hazards over West Africa (WA). My current research focuses on heatwaves (both continental and marine), drought, and compound extremes in WA.  ",,
Associate,Sandra Plecha,blank.jpg,,,,Portugal,,,
Full,Shikha Singh,blank.jpg,,,,India,,,
Chair,Sofi Darmaraki,Sofi Darmaraki.jpeg,Physical Oceanographer,Cyprus Marine and Maritime Institute,Larnaca,Cyprus,"Physical oceanographer and climate researcher, with a focus on ocean and climate extremes, their drivers and uncertainties in future projections. Fascinated by large-scale ocean circulation response to climate change, using numerical models and observational systems.",www.linkedin.com/in/sofia-darmaraki-094685b3,
Associate,Thibault Guinaldo,Thibault Guinaldo.png,Research Scientist,Centre National de Recherches Météorologiques (Météo-France / CNRS),Toulouse,France,"Climate scientist with research topic focusing on warm temperature extremes, aiming to identify climate variability signals across multiple time scales to better detect and attribute extreme events to drivers such as anthropogenic climate change and internal climate variability",https://cnrm.sedoo.fr/author/thibault/,
Full,Thomas Frölicher,Thomas Frölicher.jpg,Professor,University of Bern,Bern,Switzerland,"Thomas Frölicher is a full Professor at the University of Bern, deputy-head of the Climate and Environmental Physics division, and the head of the ocean modelling group. He is interested in marine ecosystem-carbon-climate interactions with focus on ocean extreme events and tipping points, and their impacts on climate and on marine organisms and ecosystem services. He is the coordinating lead author of Chapter 8 on tipping points in the climate system in the upcoming IPCC AR7 WGI report. ",www.tfroelicher.com,
Associate,Tongtong Xu,Tongtong Xu.jpg,Research Scientist,"CIRES, CU Boulder / NOAA PSL","Boulder, Colorado",United States,"I study the predictability of ocean and climate variability across subseasonal-to-interannual timescales by developing and applying a wide range of empirical and statistical techniques, including deep learning methods. I am particularly interested in understanding how large-scale climate dynamics impact regional and coastal processes to shape the predictability of ocean extremes including marine heatwaves and coastal flooding.",,
Full,Xinru Li,Xinru Li.JPG,Researcher,"Advanced Institute for Marine Ecosystem Change (WPI-AIMEC), Tohoku University",Sendai,Japan,"Xinru Li is a Specially Appointed Associate Professor at Advanced Institute for Marine Ecosystem Change (WPI-AIMEC) and Tohoku University. Her research focuses on understanding how climate change affects ocean physical and biogeochemical properties, with a particular emphasis on the evolution, drivers, ecological consequences, and reversibility of ocean extreme events, including marine heatwaves, low-oxygen events, and acidification. ",https://wpi-aimec.jp/en/member/Xinru-Li.html,
